Temperature,Salinity,Conductivity,Static Permittivity,Relaxation Frequency
1.07,0.01,0.0015483,86.908,9.34471e+09
1.08,0.01,0.00154848,86.9058,9.3479e+09
1.09,0.01,0.00154867,86.9036,9.35109e+09
1.1,0.01,0.00154885,86.9013,9.35428e+09
1.11,0.01,0.00154904,86.8991,9.35748e+09
1.12,0.01,0.00154922,86.8969,9.36067e+09
1.13,0.01,0.0015494,86.8947,9.36387e+09
1.14,0.01,0.00154959,86.8924,9.36707e+09
1.15,0.01,0.00154977,86.8902,9.37027e+09
1.16,0.01,0.00154996,86.888,9.37346e+09
1.17,0.01,0.00155014,86.8857,9.37666e+09
1.18,0.01,0.00155032,86.8835,9.37987e+09
1.19,0.01,0.00155051,86.8813,9.38307e+09
1.2,0.01,0.00155069,86.879,9.38627e+09
1.21,0.01,0.00155088,86.8768,9.38948e+09
1.22,0.01,0.00155106,86.8745,9.39268e+09
1.23,0.01,0.00155124,86.8723,9.39589e+09
1.24,0.01,0.00155143,86.87,9.39909e+09
1.25,0.01,0.00155161,86.8678,9.4023e+09
1.26,0.01,0.00155179,86.8655,9.40551e+09
1.27,0.01,0.00155198,86.8632,9.40872e+09
1.28,0.01,0.00155216,86.861,9.41193e+09
1.29,0.01,0.00155234,86.8587,9.41515e+09
1.3,0.01,0.00155253,86.8565,9.41836e+09
1.31,0.01,0.00155271,86.8542,9.42157e+09
1.32,0.01,0.00155289,86.8519,9.42479e+09
1.33,0.01,0.00155308,86.8496,9.428e+09
1.34,0.01,0.00155326,86.8474,9.43122e+09
1.35,0.01,0.00155344,86.8451,9.43444e+09
1.36,0.01,0.00155363,86.8428,9.43766e+09
1.37,0.01,0.00155381,86.8405,9.44088e+09
1.38,0.01,0.00155399,86.8382,9.4441e+09
1.39,0.01,0.00155418,86.8359,9.44732e+09
1.4,0.01,0.00155436,86.8337,9.45055e+09
1.41,0.01,0.00155454,86.8314,9.45377e+09
1.42,0.01,0.00155472,86.8291,9.457e+09
1.43,0.01,0.00155491,86.8268,9.46022e+09
1.44,0.01,0.00155509,86.8245,9.46345e+09
1.45,0.01,0.00155527,86.8222,9.46668e+09
1.46,0.01,0.00155545,86.8199,9.46991e+09
1.47,0.01,0.00155564,86.8176,9.47314e+09
1.48,0.01,0.00155582,86.8153,9.47637e+09
1.49,0.01,0.001556,86.8129,9.4796e+09
1.5,0.01,0.00155618,86.8106,9.48284e+09
1.51,0.01,0.00155636,86.8083,9.48607e+09
1.52,0.01,0.00155655,86.806,9.48931e+09
1.53,0.01,0.00155673,86.8037,9.49254e+09
1.54,0.01,0.00155691,86.8014,9.49578e+09
1.55,0.01,0.00155709,86.799,9.49902e+09
1.56,0.01,0.00155727,86.7967,9.50226e+09
1.57,0.01,0.00155746,86.7944,9.5055e+09
1.58,0.01,0.00155764,86.792,9.50874e+09
1.59,0.01,0.00155782,86.7897,9.51199e+09
1.6,0.01,0.001558,86.7874,9.51523e+09
1.61,0.01,0.00155818,86.785,9.51847e+09
1.62,0.01,0.00155836,86.7827,9.52172e+09
1.63,0.01,0.00155855,86.7803,9.52497e+09
1.64,0.01,0.00155873,86.778,9.52821e+09
1.65,0.01,0.00155891,86.7756,9.53146e+09
1.66,0.01,0.00155909,86.7733,9.53471e+09
1.67,0.01,0.00155927,86.7709,9.53796e+09
1.68,0.01,0.00155945,86.7686,9.54122e+09
1.69,0.01,0.00155963,86.7662,9.54447e+09
1.7,0.01,0.00155982,86.7639,9.54772e+09
1.71,0.01,0.00156,86.7615,9.55098e+09
1.72,0.01,0.00156018,86.7591,9.55423e+09
1.73,0.01,0.00156036,86.7568,9.55749e+09
1.74,0.01,0.00156054,86.7544,9.56075e+09
1.75,0.01,0.00156072,86.752,9.56401e+09
1.76,0.01,0.0015609,86.7497,9.56727e+09
1.77,0.01,0.00156108,86.7473,9.57053e+09
1.78,0.01,0.00156126,86.7449,9.57379e+09
1.79,0.01,0.00156144,86.7425,9.57705e+09
1.8,0.01,0.00156162,86.7401,9.58032e+09
1.81,0.01,0.0015618,86.7378,9.58358e+09
1.82,0.01,0.00156198,86.7354,9.58685e+09
1.83,0.01,0.00156216,86.733,9.59012e+09
1.84,0.01,0.00156234,86.7306,9.59338e+09
1.85,0.01,0.00156253,86.7282,9.59665e+09
1.86,0.01,0.00156271,86.7258,9.59992e+09
1.87,0.01,0.00156289,86.7234,9.60319e+09
1.88,0.01,0.00156307,86.721,9.60647e+09
1.89,0.01,0.00156325,86.7186,9.60974e+09
1.9,0.01,0.00156343,86.7162,9.61301e+09
1.91,0.01,0.00156361,86.7138,9.61629e+09
1.92,0.01,0.00156379,86.7114,9.61956e+09
1.93,0.01,0.00156397,86.709,9.62284e+09
1.94,0.01,0.00156414,86.7065,9.62612e+09
1.95,0.01,0.00156432,86.7041,9.6294e+09
1.96,0.01,0.0015645,86.7017,9.63268e+09
1.97,0.01,0.00156468,86.6993,9.63596e+09
1.98,0.01,0.00156486,86.6969,9.63924e+09
1.99,0.01,0.00156504,86.6944,9.64253e+09
2,0.01,0.00156522,86.692,9.64581e+09
2.01,0.01,0.0015654,86.6896,9.6491e+09
2.02,0.01,0.00156558,86.6871,9.65238e+09
2.03,0.01,0.00156576,86.6847,9.65567e+09
2.04,0.01,0.00156594,86.6823,9.65896e+09
2.05,0.01,0.00156612,86.6798,9.66225e+09
2.06,0.01,0.0015663,86.6774,9.66554e+09
2.07,0.01,0.00156648,86.675,9.66883e+09
2.08,0.01,0.00156666,86.6725,9.67212e+09
2.09,0.01,0.00156683,86.6701,9.67542e+09
2.1,0.01,0.00156701,86.6676,9.67871e+09
2.11,0.01,0.00156719,86.6652,9.68201e+09
2.12,0.01,0.00156737,86.6627,9.6853e+09
2.13,0.01,0.00156755,86.6602,9.6886e+09
2.14,0.01,0.00156773,86.6578,9.6919e+09
2.15,0.01,0.00156791,86.6553,9.6952e+09
2.16,0.01,0.00156809,86.6529,9.6985e+09
2.17,0.01,0.00156826,86.6504,9.7018e+09
2.18,0.01,0.00156844,86.6479,9.7051e+09
2.19,0.01,0.00156862,86.6455,9.70841e+09
2.2,0.01,0.0015688,86.643,9.71171e+09
2.21,0.01,0.00156898,86.6405,9.71502e+09
2.22,0.01,0.00156916,86.638,9.71832e+09
2.23,0.01,0.00156933,86.6355,9.72163e+09
2.24,0.01,0.00156951,86.6331,9.72494e+09
2.25,0.01,0.00156969,86.6306,9.72825e+09
2.26,0.01,0.00156987,86.6281,9.73156e+09
2.27,0.01,0.00157005,86.6256,9.73487e+09
2.28,0.01,0.00157022,86.6231,9.73819e+09
2.29,0.01,0.0015704,86.6206,9.7415e+09
2.3,0.01,0.00157058,86.6181,9.74482e+09
2.31,0.01,0.00157076,86.6156,9.74813e+09
2.32,0.01,0.00157093,86.6131,9.75145e+09
2.33,0.01,0.00157111,86.6106,9.75477e+09
2.34,0.01,0.00157129,86.6081,9.75809e+09
2.35,0.01,0.00157147,86.6056,9.76141e+09
2.36,0.01,0.00157164,86.6031,9.76473e+09
2.37,0.01,0.00157182,86.6006,9.76805e+09
2.38,0.01,0.001572,86.5981,9.77137e+09
2.39,0.01,0.00157218,86.5956,9.7747e+09
2.4,0.01,0.00157235,86.5931,9.77802e+09
2.41,0.01,0.00157253,86.5905,9.78135e+09
2.42,0.01,0.00157271,86.588,9.78467e+09
2.43,0.01,0.00157288,86.5855,9.788e+09
2.44,0.01,0.00157306,86.583,9.79133e+09
2.45,0.01,0.00157324,86.5804,9.79466e+09
2.46,0.01,0.00157341,86.5779,9.79799e+09
2.47,0.01,0.00157359,86.5754,9.80133e+09
2.48,0.01,0.00157377,86.5728,9.80466e+09
2.49,0.01,0.00157394,86.5703,9.80799e+09
2.5,0.01,0.00157412,86.5678,9.81133e+09
2.51,0.01,0.0015743,86.5652,9.81466e+09
2.52,0.01,0.00157447,86.5627,9.818e+09
2.53,0.01,0.00157465,86.5601,9.82134e+09
2.54,0.01,0.00157483,86.5576,9.82468e+09
2.55,0.01,0.001575,86.555,9.82802e+09
2.56,0.01,0.00157518,86.5525,9.83136e+09
2.57,0.01,0.00157535,86.5499,9.8347e+09
2.58,0.01,0.00157553,86.5474,9.83805e+09
2.59,0.01,0.00157571,86.5448,9.84139e+09
2.6,0.01,0.00157588,86.5423,9.84474e+09
2.61,0.01,0.00157606,86.5397,9.84808e+09
2.62,0.01,0.00157623,86.5371,9.85143e+09
2.63,0.01,0.00157641,86.5346,9.85478e+09
2.64,0.01,0.00157659,86.532,9.85813e+09
2.65,0.01,0.00157676,86.5294,9.86148e+09
2.66,0.01,0.00157694,86.5268,9.86483e+09
2.67,0.01,0.00157711,86.5243,9.86819e+09
2.68,0.01,0.00157729,86.5217,9.87154e+09
2.69,0.01,0.00157746,86.5191,9.87489e+09
2.7,0.01,0.00157764,86.5165,9.87825e+09
2.71,0.01,0.00157781,86.5139,9.88161e+09
2.72,0.01,0.00157799,86.5114,9.88496e+09
2.73,0.01,0.00157817,86.5088,9.88832e+09
2.74,0.01,0.00157834,86.5062,9.89168e+09
2.75,0.01,0.00157852,86.5036,9.89504e+09
2.76,0.01,0.00157869,86.501,9.89841e+09
2.77,0.01,0.00157887,86.4984,9.90177e+09
2.78,0.01,0.00157904,86.4958,9.90513e+09
2.79,0.01,0.00157922,86.4932,9.9085e+09
2.8,0.01,0.00157939,86.4906,9.91186e+09
2.81,0.01,0.00157957,86.488,9.91523e+09
2.82,0.01,0.00157974,86.4854,9.9186e+09
2.83,0.01,0.00157991,86.4828,9.92197e+09
2.84,0.01,0.00158009,86.4802,9.92534e+09
2.85,0.01,0.00158026,86.4775,9.92871e+09
2.86,0.01,0.00158044,86.4749,9.93208e+09
2.87,0.01,0.00158061,86.4723,9.93545e+09
2.88,0.01,0.00158079,86.4697,9.93883e+09
2.89,0.01,0.00158096,86.4671,9.9422e+09
2.9,0.01,0.00158114,86.4644,9.94558e+09
2.91,0.01,0.00158131,86.4618,9.94896e+09
2.92,0.01,0.00158148,86.4592,9.95233e+09
2.93,0.01,0.00158166,86.4565,9.95571e+09
2.94,0.01,0.00158183,86.4539,9.95909e+09
2.95,0.01,0.00158201,86.4513,9.96248e+09
2.96,0.01,0.00158218,86.4486,9.96586e+09
2.97,0.01,0.00158235,86.446,9.96924e+09
2.98,0.01,0.00158253,86.4434,9.97263e+09
2.99,0.01,0.0015827,86.4407,9.97601e+09
3,0.01,0.00158287,86.4381,9.9794e+09
3.01,0.01,0.00158305,86.4354,9.98278e+09
3.02,0.01,0.00158322,86.4328,9.98617e+09
3.03,0.01,0.00158339,86.4301,9.98956e+09
3.04,0.01,0.00158357,86.4275,9.99295e+09
3.05,0.01,0.00158374,86.4248,9.99634e+09
3.06,0.01,0.00158391,86.4221,9.99974e+09
3.07,0.01,0.00158409,86.4195,1.00031e+10
3.08,0.01,0.00158426,86.4168,1.00065e+10
3.09,0.01,0.00158443,86.4142,1.00099e+10
3.1,0.01,0.00158461,86.4115,1.00133e+10
3.11,0.01,0.00158478,86.4088,1.00167e+10
3.12,0.01,0.00158495,86.4062,1.00201e+10
3.13,0.01,0.00158513,86.4035,1.00235e+10
3.14,0.01,0.0015853,86.4008,1.00269e+10
3.15,0.01,0.00158547,86.3981,1.00303e+10
3.16,0.01,0.00158564,86.3954,1.00337e+10
3.17,0.01,0.00158582,86.3928,1.00371e+10
3.18,0.01,0.00158599,86.3901,1.00405e+10
3.19,0.01,0.00158616,86.3874,1.00439e+10
3.2,0.01,0.00158633,86.3847,1.00473e+10
3.21,0.01,0.00158651,86.382,1.00507e+10
3.22,0.01,0.00158668,86.3793,1.00542e+10
3.23,0.01,0.00158685,86.3766,1.00576e+10
3.24,0.01,0.00158702,86.3739,1.0061e+10
3.25,0.01,0.0015872,86.3712,1.00644e+10
3.26,0.01,0.00158737,86.3685,1.00678e+10
3.27,0.01,0.00158754,86.3658,1.00712e+10
3.28,0.01,0.00158771,86.3631,1.00746e+10
3.29,0.01,0.00158788,86.3604,1.0078e+10
3.3,0.01,0.00158806,86.3577,1.00815e+10
3.31,0.01,0.00158823,86.355,1.00849e+10
3.32,0.01,0.0015884,86.3523,1.00883e+10
3.33,0.01,0.00158857,86.3496,1.00917e+10
3.34,0.01,0.00158874,86.3469,1.00951e+10
3.35,0.01,0.00158891,86.3441,1.00986e+10
3.36,0.01,0.00158909,86.3414,1.0102e+10
3.37,0.01,0.00158926,86.3387,1.01054e+10
3.38,0.01,0.00158943,86.336,1.01088e+10
3.39,0.01,0.0015896,86.3332,1.01123e+10
3.4,0.01,0.00158977,86.3305,1.01157e+10
3.41,0.01,0.00158994,86.3278,1.01191e+10
3.42,0.01,0.00159011,86.3251,1.01226e+10
3.43,0.01,0.00159028,86.3223,1.0126e+10
3.44,0.01,0.00159046,86.3196,1.01294e+10
3.45,0.01,0.00159063,86.3168,1.01328e+10
3.46,0.01,0.0015908,86.3141,1.01363e+10
3.47,0.01,0.00159097,86.3114,1.01397e+10
3.48,0.01,0.00159114,86.3086,1.01432e+10
3.49,0.01,0.00159131,86.3059,1.01466e+10
3.5,0.01,0.00159148,86.3031,1.015e+10
3.51,0.01,0.00159165,86.3004,1.01535e+10
3.52,0.01,0.00159182,86.2976,1.01569e+10
3.53,0.01,0.00159199,86.2949,1.01603e+10
3.54,0.01,0.00159216,86.2921,1.01638e+10
3.55,0.01,0.00159233,86.2893,1.01672e+10
3.56,0.01,0.0015925,86.2866,1.01707e+10
3.57,0.01,0.00159267,86.2838,1.01741e+10
3.58,0.01,0.00159284,86.281,1.01776e+10
3.59,0.01,0.00159301,86.2783,1.0181e+10
3.6,0.01,0.00159318,86.2755,1.01845e+10
3.61,0.01,0.00159335,86.2727,1.01879e+10
3.62,0.01,0.00159352,86.27,1.01914e+10
3.63,0.01,0.00159369,86.2672,1.01948e+10
3.64,0.01,0.00159386,86.2644,1.01983e+10
3.65,0.01,0.00159403,86.2616,1.02017e+10
3.66,0.01,0.0015942,86.2588,1.02052e+10
3.67,0.01,0.00159437,86.2561,1.02086e+10
3.68,0.01,0.00159454,86.2533,1.02121e+10
3.69,0.01,0.00159471,86.2505,1.02155e+10
3.7,0.01,0.00159488,86.2477,1.0219e+10
3.71,0.01,0.00159505,86.2449,1.02225e+10
3.72,0.01,0.00159522,86.2421,1.02259e+10
3.73,0.01,0.00159539,86.2393,1.02294e+10
3.74,0.01,0.00159556,86.2365,1.02328e+10
3.75,0.01,0.00159573,86.2337,1.02363e+10
3.76,0.01,0.0015959,86.2309,1.02398e+10
3.77,0.01,0.00159607,86.2281,1.02432e+10
3.78,0.01,0.00159623,86.2253,1.02467e+10
3.79,0.01,0.0015964,86.2225,1.02502e+10
3.8,0.01,0.00159657,86.2197,1.02536e+10
3.81,0.01,0.00159674,86.2169,1.02571e+10
3.82,0.01,0.00159691,86.2141,1.02606e+10
3.83,0.01,0.00159708,86.2113,1.0264e+10
3.84,0.01,0.00159725,86.2084,1.02675e+10
3.85,0.01,0.00159742,86.2056,1.0271e+10
3.86,0.01,0.00159758,86.2028,1.02745e+10
3.87,0.01,0.00159775,86.2,1.02779e+10
3.88,0.01,0.00159792,86.1971,1.02814e+10
3.89,0.01,0.00159809,86.1943,1.02849e+10
3.9,0.01,0.00159826,86.1915,1.02884e+10
3.91,0.01,0.00159843,86.1887,1.02918e+10
3.92,0.01,0.00159859,86.1858,1.02953e+10
3.93,0.01,0.00159876,86.183,1.02988e+10
3.94,0.01,0.00159893,86.1802,1.03023e+10
3.95,0.01,0.0015991,86.1773,1.03058e+10
3.96,0.01,0.00159927,86.1745,1.03093e+10
3.97,0.01,0.00159943,86.1716,1.03127e+10
3.98,0.01,0.0015996,86.1688,1.03162e+10
3.99,0.01,0.00159977,86.1659,1.03197e+10
4,0.01,0.00159994,86.1631,1.03232e+10
4.01,0.01,0.0016001,86.1602,1.03267e+10
4.02,0.01,0.00160027,86.1574,1.03302e+10
4.03,0.01,0.00160044,86.1545,1.03337e+10
4.04,0.01,0.00160061,86.1517,1.03372e+10
4.05,0.01,0.00160077,86.1488,1.03407e+10
4.06,0.01,0.00160094,86.146,1.03442e+10
4.07,0.01,0.00160111,86.1431,1.03477e+10
4.08,0.01,0.00160128,86.1402,1.03512e+10
4.09,0.01,0.00160144,86.1374,1.03547e+10
4.1,0.01,0.00160161,86.1345,1.03582e+10
4.11,0.01,0.00160178,86.1316,1.03617e+10
4.12,0.01,0.00160194,86.1287,1.03652e+10
4.13,0.01,0.00160211,86.1259,1.03687e+10
4.14,0.01,0.00160228,86.123,1.03722e+10
4.15,0.01,0.00160244,86.1201,1.03757e+10
4.16,0.01,0.00160261,86.1172,1.03792e+10
4.17,0.01,0.00160278,86.1144,1.03827e+10
4.18,0.01,0.00160294,86.1115,1.03862e+10
4.19,0.01,0.00160311,86.1086,1.03897e+10
4.2,0.01,0.00160328,86.1057,1.03932e+10
4.21,0.01,0.00160344,86.1028,1.03967e+10
4.22,0.01,0.00160361,86.0999,1.04002e+10
4.23,0.01,0.00160378,86.097,1.04037e+10
4.24,0.01,0.00160394,86.0941,1.04073e+10
4.25,0.01,0.00160411,86.0912,1.04108e+10
4.26,0.01,0.00160427,86.0883,1.04143e+10
4.27,0.01,0.00160444,86.0854,1.04178e+10
4.28,0.01,0.00160461,86.0825,1.04213e+10
4.29,0.01,0.00160477,86.0796,1.04248e+10
4.3,0.01,0.00160494,86.0767,1.04284e+10
4.31,0.01,0.0016051,86.0738,1.04319e+10
4.32,0.01,0.00160527,86.0709,1.04354e+10
4.33,0.01,0.00160543,86.068,1.04389e+10
4.34,0.01,0.0016056,86.0651,1.04424e+10
4.35,0.01,0.00160577,86.0622,1.0446e+10
4.36,0.01,0.00160593,86.0592,1.04495e+10
4.37,0.01,0.0016061,86.0563,1.0453e+10
4.38,0.01,0.00160626,86.0534,1.04566e+10
4.39,0.01,0.00160643,86.0505,1.04601e+10
4.4,0.01,0.00160659,86.0475,1.04636e+10
4.41,0.01,0.00160676,86.0446,1.04671e+10
4.42,0.01,0.00160692,86.0417,1.04707e+10
4.43,0.01,0.00160709,86.0388,1.04742e+10
4.44,0.01,0.00160725,86.0358,1.04777e+10
4.45,0.01,0.00160742,86.0329,1.04813e+10
4.46,0.01,0.00160758,86.0299,1.04848e+10
4.47,0.01,0.00160775,86.027,1.04883e+10
4.48,0.01,0.00160791,86.0241,1.04919e+10
4.49,0.01,0.00160808,86.0211,1.04954e+10
4.5,0.01,0.00160824,86.0182,1.0499e+10
4.51,0.01,0.0016084,86.0152,1.05025e+10
4.52,0.01,0.00160857,86.0123,1.0506e+10
4.53,0.01,0.00160873,86.0093,1.05096e+10
4.54,0.01,0.0016089,86.0064,1.05131e+10
4.55,0.01,0.00160906,86.0034,1.05167e+10
4.56,0.01,0.00160923,86.0005,1.05202e+10
4.57,0.01,0.00160939,85.9975,1.05238e+10
4.58,0.01,0.00160955,85.9946,1.05273e+10
4.59,0.01,0.00160972,85.9916,1.05309e+10
4.6,0.01,0.00160988,85.9886,1.05344e+10
4.61,0.01,0.00161005,85.9857,1.0538e+10
4.62,0.01,0.00161021,85.9827,1.05415e+10
4.63,0.01,0.00161037,85.9797,1.05451e+10
4.64,0.01,0.00161054,85.9768,1.05486e+10
4.65,0.01,0.0016107,85.9738,1.05522e+10
4.66,0.01,0.00161086,85.9708,1.05557e+10
4.67,0.01,0.00161103,85.9678,1.05593e+10
4.68,0.01,0.00161119,85.9648,1.05629e+10
4.69,0.01,0.00161135,85.9619,1.05664e+10
4.7,0.01,0.00161152,85.9589,1.057e+10
4.71,0.01,0.00161168,85.9559,1.05735e+10
4.72,0.01,0.00161184,85.9529,1.05771e+10
4.73,0.01,0.00161201,85.9499,1.05807e+10
4.74,0.01,0.00161217,85.9469,1.05842e+10
4.75,0.01,0.00161233,85.9439,1.05878e+10
4.76,0.01,0.0016125,85.941,1.05914e+10
4.77,0.01,0.00161266,85.938,1.05949e+10
4.78,0.01,0.00161282,85.935,1.05985e+10
4.79,0.01,0.00161298,85.932,1.06021e+10
4.8,0.01,0.00161315,85.929,1.06056e+10
4.81,0.01,0.00161331,85.926,1.06092e+10
4.82,0.01,0.00161347,85.923,1.06128e+10
4.83,0.01,0.00161363,85.92,1.06164e+10
4.84,0.01,0.0016138,85.9169,1.06199e+10
4.85,0.01,0.00161396,85.9139,1.06235e+10
4.86,0.01,0.00161412,85.9109,1.06271e+10
4.87,0.01,0.00161428,85.9079,1.06307e+10
4.88,0.01,0.00161445,85.9049,1.06342e+10
4.89,0.01,0.00161461,85.9019,1.06378e+10
4.9,0.01,0.00161477,85.8989,1.06414e+10
4.91,0.01,0.00161493,85.8958,1.0645e+10
4.92,0.01,0.00161509,85.8928,1.06486e+10
4.93,0.01,0.00161526,85.8898,1.06522e+10
4.94,0.01,0.00161542,85.8868,1.06557e+10
4.95,0.01,0.00161558,85.8837,1.06593e+10
4.96,0.01,0.00161574,85.8807,1.06629e+10
4.97,0.01,0.0016159,85.8777,1.06665e+10
4.98,0.01,0.00161606,85.8746,1.06701e+10
4.99,0.01,0.00161623,85.8716,1.06737e+10
5,0.01,0.00161639,85.8686,1.06773e+10
5.01,0.01,0.00161655,85.8655,1.06809e+10
5.02,0.01,0.00161671,85.8625,1.06845e+10
5.03,0.01,0.00161687,85.8594,1.06881e+10
5.04,0.01,0.00161703,85.8564,1.06917e+10
5.05,0.01,0.00161719,85.8534,1.06953e+10
5.06,0.01,0.00161735,85.8503,1.06988e+10
5.07,0.01,0.00161751,85.8473,1.07024e+10
5.08,0.01,0.00161768,85.8442,1.0706e+10
5.09,0.01,0.00161784,85.8412,1.07096e+10
5.1,0.01,0.001618,85.8381,1.07132e+10
5.11,0.01,0.00161816,85.835,1.07169e+10
5.12,0.01,0.00161832,85.832,1.07205e+10
5.13,0.01,0.00161848,85.8289,1.07241e+10
5.14,0.01,0.00161864,85.8259,1.07277e+10
5.15,0.01,0.0016188,85.8228,1.07313e+10
5.16,0.01,0.00161896,85.8197,1.07349e+10
5.17,0.01,0.00161912,85.8167,1.07385e+10
5.18,0.01,0.00161928,85.8136,1.07421e+10
